date,open,high,low,close,volume,adj_close
2023-07-06,278.09,279.97,272.88,276.54,120707419,276.54
2023-07-07,278.43,280.78,273.77,274.43,113879174,274.43
2023-07-10,276.47,277.52,265.1,269.61,119425405,269.61
2023-07-11,268.65,270.9,266.37,269.79,91972358,269.79
2023-07-12,276.33,276.52,271.46,271.99,95672139,271.99
2023-07-13,274.59,279.45,270.6,277.9,112681458,277.9
2023-07-14,277.01,285.3,276.31,281.38,120062369,281.38
2023-07-17,286.63,292.23,283.57,290.38,131569593,290.38
2023-07-18,290.15,295.26,286.01,293.34,112434713,293.34
2023-07-19,296.04,299.29,289.52,291.26,142355353,291.26
2023-07-20,279.56,280.93,261.2,262.9,175158273,262.9
2023-07-21,268.0,268.0,255.8,260.02,161796073,260.02
2023-07-24,255.85,269.85,254.12,269.06,137005037,269.06
2023-07-25,272.38,272.9,265.0,265.28,112757327,265.28
2023-07-26,263.25,268.04,261.75,264.35,95856177,264.35
2023-07-27,268.31,269.13,255.3,255.71,103697263,255.71
2023-07-28,259.86,267.25,258.23,266.44,111446026,266.44
2023-07-31,267.48,269.08,263.78,267.43,84582172,267.43
2023-08-01,266.26,266.47,260.25,261.07,83645720,261.07
2023-08-02,255.57,259.52,250.49,254.11,101752865,254.11
2023-08-03,252.04,260.49,252.0,259.32,97829545,259.32
2023-08-04,260.97,264.77,253.11,253.86,99539907,253.86
2023-08-07,251.45,253.65,242.76,251.45,111097943,251.45
2023-08-08,247.45,250.92,245.01,249.7,96642183,249.7
2023-08-09,250.87,251.1,241.9,242.19,101596324,242.19
2023-08-10,245.4,251.8,243.0,245.34,109498608,245.34
2023-08-11,241.77,243.79,238.02,242.65,99038642,242.65
2023-08-14,235.7,240.66,233.75,239.76,98595331,239.76
2023-08-15,238.73,240.5,232.61,232.96,88197599,232.96
2023-08-16,228.02,233.97,225.38,225.6,112484520,225.6
2023-08-17,226.06,226.74,218.83,219.22,120718417,219.22
2023-08-18,214.12,217.58,212.36,215.49,136276584,215.49
2023-08-21,221.55,232.13,220.58,231.28,135702671,231.28
2023-08-22,240.25,240.82,229.55,233.19,130597886,233.19
2023-08-23,229.34,238.98,229.29,236.86,101077635,236.86
2023-08-24,238.66,238.92,228.18,230.04,99777432,230.04
2023-08-25,231.31,239.0,230.35,238.59,106612231,238.59
2023-08-28,242.58,244.38,235.35,238.82,107673727,238.82
2023-08-29,238.58,257.48,237.77,257.18,134047603,257.18
2023-08-30,254.2,260.51,250.59,256.9,121988437,256.9
2023-08-31,255.98,261.18,255.05,258.08,108861698,258.08
2023-09-01,257.26,259.08,242.01,245.01,132541640,245.01
2023-09-05,245.0,258.0,244.86,256.49,129469565,256.49
2023-09-06,255.14,255.39,245.06,251.92,116959759,251.92
2023-09-07,245.07,252.81,243.27,251.49,115312886,251.49
2023-09-08,251.22,256.52,246.67,248.5,118559635,248.5
2023-09-11,264.27,274.85,260.61,273.58,174667852,273.58
2023-09-12,270.76,278.39,266.6,267.48,135999866,267.48
2023-09-13,270.07,274.98,268.1,271.3,111673737,271.3
2023-09-14,271.32,276.71,270.42,276.04,107709842,276.04
2023-09-15,277.55,278.98,271.0,274.39,133692313,274.39
2023-09-18,271.16,271.44,263.76,265.28,101543305,265.28
2023-09-19,264.35,267.85,261.2,266.5,103704040,266.5
2023-09-20,267.04,273.93,262.46,262.59,122514643,262.59
2023-09-21,257.85,260.86,254.21,255.7,119951516,255.7
2023-09-22,257.4,257.79,244.48,244.88,127524083,244.88
2023-09-25,243.38,247.1,238.31,246.99,104636557,246.99
2023-09-26,242.98,249.55,241.66,244.12,101993631,244.12
2023-09-27,244.26,245.33,234.58,240.5,136597184,240.5
2023-09-28,240.02,247.55,238.65,246.38,117058870,246.38
2023-09-29,250.0,254.77,246.35,250.22,128522729,250.22
2023-10-02,244.81,254.28,242.62,251.6,123810402,251.6
2023-10-03,248.61,250.02,244.45,246.53,101985305,246.53
2023-10-04,248.14,261.86,247.6,261.16,129721567,261.16
2023-10-05,260.0,263.6,256.25,260.05,119159214,260.05
2023-10-06,253.98,261.65,250.65,260.53,118121812,260.53
2023-10-09,255.31,261.36,252.05,259.67,101377947,259.67
2023-10-10,257.75,268.94,257.65,263.62,122656030,263.62
2023-10-11,266.2,268.6,260.9,262.99,103706266,262.99
2023-10-12,262.92,265.41,256.63,258.87,111508114,258.87
2023-10-13,258.9,259.6,250.22,251.12,102296786,251.12
2023-10-16,250.05,255.4,248.48,253.92,88917176,253.92
2023-10-17,250.1,257.18,247.08,254.85,93562909,254.85
2023-10-18,252.7,254.63,242.08,242.68,125147846,242.68
2023-10-19,225.95,230.61,216.78,220.11,170772713,220.11
2023-10-20,217.01,218.86,210.42,211.99,138009893,211.99
2023-10-23,210.0,216.98,202.51,212.08,150683368,212.08
2023-10-24,216.5,222.05,214.11,216.52,118231103,216.52
2023-10-25,215.88,220.1,212.2,212.42,107064904,212.42
2023-10-26,211.32,214.8,204.88,205.76,115112520,205.76
2023-10-27,210.6,212.41,205.77,207.3,94881171,207.3
2023-10-30,209.28,210.88,194.67,197.36,136448006,197.36
2023-10-31,196.12,202.8,194.07,200.84,118068172,200.84
2023-11-01,204.04,205.99,197.85,205.66,121661656,205.66
2023-11-02,212.97,219.2,211.45,218.51,125987515,218.51
2023-11-03,221.15,226.37,218.4,219.96,119534764,219.96
2023-11-06,223.98,226.32,215.0,219.27,117335719,219.27
2023-11-07,219.98,223.12,215.72,222.18,116900041,222.18
2023-11-08,223.15,224.15,217.64,222.11,106584767,222.11
2023-11-09,219.75,220.8,206.68,209.98,142110454,209.98
2023-11-10,210.03,215.38,205.69,214.65,131310113,214.65
2023-11-13,215.6,225.4,211.61,223.71,140447513,223.71
2023-11-14,235.03,238.14,230.72,237.41,149771428,237.41
2023-11-15,239.29,246.7,236.45,242.84,150353950,242.84
2023-11-16,239.49,240.88,230.96,233.59,136816543,233.59
2023-11-17,232.0,237.39,226.54,234.3,142766105,234.3
2023-11-20,234.04,237.1,231.02,235.6,116562214,235.6
2023-11-21,235.04,243.62,233.34,241.2,122287730,241.2
2023-11-22,242.04,244.01,231.4,234.21,118117043,234.21
2023-11-24,233.75,238.75,232.33,235.45,64720746,235.45
2023-11-27,236.89,238.33,232.1,236.08,112031763,236.08
2023-11-28,236.68,247.0,234.01,246.72,148549913,246.72
2023-11-29,249.21,252.75,242.76,244.14,135401335,244.14
2023-11-30,245.14,245.22,236.91,240.08,132352657,240.08
2023-12-01,233.14,240.19,231.9,238.83,121331656,238.83
2023-12-04,235.75,239.37,233.29,235.58,104099783,235.58
2023-12-05,233.87,246.66,233.7,238.72,137971066,238.72
2023-12-06,242.92,246.57,239.17,239.37,126435964,239.37
2023-12-07,241.55,244.08,236.98,242.64,107142262,242.64
2023-12-08,240.27,245.27,239.27,243.84,103126618,243.84
2023-12-11,242.74,243.44,237.45,239.74,97913888,239.74
2023-12-12,238.55,238.99,233.87,237.01,95328313,237.01
2023-12-13,234.19,240.3,228.2,239.29,146286348,239.29
2023-12-14,241.22,253.88,240.79,251.05,160829239,251.05
2023-12-15,251.21,254.13,248.3,253.5,135932712,253.5
2023-12-18,253.78,258.74,251.36,252.08,116416487,252.08
2023-12-19,253.48,258.34,253.01,257.22,106737363,257.22
2023-12-20,256.41,259.84,247.0,247.14,125096970,247.14
2023-12-21,251.9,254.8,248.55,254.5,109594078,254.5
2023-12-22,256.76,258.22,251.37,252.54,93369994,252.54
2023-12-26,254.49,257.97,252.91,256.61,86892382,256.61
2023-12-27,258.35,263.34,257.52,261.44,106494358,261.44
2023-12-28,263.66,265.13,252.71,253.18,113619840,253.18
2023-12-29,255.1,255.19,247.43,248.48,100891528,248.48
2024-01-02,250.08,251.25,244.41,248.42,104653800,248.42
2024-01-03,244.98,245.68,236.32,238.45,121082544,238.45
2024-01-04,239.25,242.7,237.73,237.93,102629283,237.93
2024-01-05,236.86,240.12,234.9,237.49,92488925,237.49
2024-01-08,236.14,241.25,235.3,240.45,85166538,240.45
2024-01-09,238.11,238.96,232.04,234.96,96705630,234.96
2024-01-10,235.1,235.5,231.29,233.94,91628502,233.94
2024-01-11,230.57,230.93,225.37,227.22,105873612,227.22
2024-01-12,220.08,225.34,217.15,218.89,123043695,218.89
2024-01-16,215.1,223.49,212.18,219.91,115355045,219.91
2024-01-17,214.86,215.67,212.01,215.55,103164243,215.55
2024-01-18,216.88,217.45,208.74,211.88,108595228,211.88
2024-01-19,209.99,213.19,207.56,212.19,102260343,212.19
2024-01-22,212.26,217.8,206.27,208.8,117952472,208.8
2024-01-23,211.3,215.65,207.75,209.14,106605906,209.14
2024-01-24,211.88,212.73,206.77,207.83,123369906,207.83
2024-01-25,189.7,193.0,180.06,182.63,198076781,182.63
2024-01-26,185.5,186.78,182.1,183.25,107343231,183.25
2024-01-29,185.63,191.48,183.67,190.93,125013148,190.93
2024-01-30,195.33,196.36,190.61,191.59,109982227,191.59
2024-01-31,187.0,193.97,185.85,187.29,103221430,187.29
2024-02-01,188.5,189.88,184.28,188.86,91843274,188.86
2024-02-02,185.04,188.69,182.0,187.91,110612672,187.91
2024-02-05,184.26,184.68,175.01,181.06,134294404,181.06
2024-02-06,177.21,186.49,177.11,185.1,122675942,185.1
2024-02-07,188.18,189.79,182.68,187.58,111535190,187.58
2024-02-08,189.0,191.62,185.58,189.56,83033915,189.56
2024-02-09,190.18,194.12,189.48,193.57,84476347,193.57
2024-02-12,192.11,194.73,187.28,188.13,95498366,188.13
2024-02-13,183.99,187.26,182.11,184.02,86759478,184.02
2024-02-14,185.3,188.89,183.35,188.71,81202987,188.71
2024-02-15,189.16,200.88,188.86,200.45,120831762,200.45
2024-02-16,202.06,203.17,197.4,199.95,111346705,199.95
2024-02-20,196.13,198.6,189.13,193.76,104545760,193.76
2024-02-21,193.36,199.44,191.95,194.77,103844007,194.77
2024-02-22,194.0,198.32,191.36,197.41,92739367,197.41
2024-02-23,195.31,197.57,191.5,191.97,78841802,191.97
2024-02-26,192.29,201.78,192.0,199.4,111746933,199.4
2024-02-27,204.04,205.6,198.26,199.73,108645182,199.73
2024-02-28,200.42,205.3,198.44,202.04,99805970,202.04
2024-02-29,204.18,205.28,198.45,201.88,85906955,201.88
2024-03-01,200.52,204.52,198.5,202.64,82242951,202.64
2024-03-04,198.73,199.75,186.72,188.13,134334865,188.13
2024-03-05,183.05,184.59,177.57,180.74,119660740,180.74
2024-03-06,179.99,181.58,173.7,176.54,107920827,176.54
2024-03-07,174.35,180.04,173.7,178.65,102129004,178.65
2024-03-08,181.5,182.73,174.7,175.34,85544444,175.34
2024-03-11,175.44,182.87,174.8,177.77,85391528,177.77
2024-03-12,177.77,179.43,172.41,177.54,87391683,177.54
2024-03-13,173.05,176.05,169.15,169.48,106524462,169.48
2024-03-14,167.77,171.17,160.51,162.5,126325645,162.5
2024-03-15,163.16,165.18,160.76,163.57,97146748,163.57
2024-03-18,170.02,174.72,165.9,173.8,108214189,173.8
2024-03-19,172.36,172.82,167.42,171.32,77271382,171.32
2024-03-20,173.0,176.25,170.82,175.66,83846538,175.66
2024-03-21,176.39,178.18,171.8,172.82,73178012,172.82
2024-03-22,166.69,171.2,166.3,170.83,75580565,170.83
2024-03-25,168.76,175.24,168.73,172.63,74228552,172.63
2024-03-26,178.58,184.25,177.38,177.67,113186175,177.67
2024-03-27,181.41,181.91,176.0,179.83,81804042,179.83
2024-03-28,177.45,179.57,175.3,175.79,77654838,175.79
2024-04-01,176.17,176.75,170.21,175.22,81562126,175.22
2024-04-02,164.75,167.69,163.43,166.63,116650484,166.63
2024-04-03,164.02,168.82,163.28,168.38,82950141,168.38
2024-04-04,170.07,177.19,168.01,171.11,123161960,171.11
2024-04-05,169.08,170.86,160.51,164.9,143157603,164.9
2024-04-08,169.34,174.5,167.79,172.98,104423320,172.98
2024-04-09,172.91,179.22,171.92,176.88,103232675,176.88
2024-04-10,173.04,174.93,170.01,171.76,84532407,171.76
2024-04-11,172.55,175.88,168.51,174.6,94515987,174.6
2024-04-12,172.34,173.81,170.36,171.05,64722669,171.05
2024-04-15,170.24,170.69,161.38,161.48,100245310,161.48
2024-04-16,156.74,158.19,153.75,157.11,96999956,157.11
2024-04-17,157.64,158.33,153.78,155.45,82439718,155.45
2024-04-18,151.25,152.2,148.7,149.93,96098830,149.93
2024-04-19,148.97,150.94,146.22,147.05,87074484,147.05
2024-04-22,140.56,144.44,138.8,142.05,107097440,142.05
2024-04-23,143.33,147.26,141.11,144.68,124545104,144.68
2024-04-24,162.84,167.97,157.51,162.13,181178020,162.13
2024-04-25,158.96,170.88,158.36,170.18,126427521,170.18
2024-04-26,168.85,172.12,166.37,168.29,109815725,168.29
2024-04-29,188.42,198.87,184.54,194.05,243869678,194.05
2024-04-30,186.98,190.95,182.84,183.28,127031787,183.28
2024-05-01,182.0,185.86,179.01,179.99,92829719,179.99
2024-05-02,182.86,184.6,176.02,180.01,89148041,180.01
2024-05-03,182.1,184.78,178.42,181.19,75491515,181.19
2024-05-06,183.8,187.56,182.2,184.76,84390253,184.76
2024-05-07,182.4,183.26,177.4,177.81,75045829,177.81
2024-05-08,171.59,176.06,170.15,174.72,79969039,174.72
2024-05-09,175.01,175.62,171.37,171.97,65950113,171.97
2024-05-10,173.05,173.06,167.75,168.47,72627148,168.47
2024-05-13,170.0,175.4,169.0,171.89,67018868,171.89
2024-05-14,174.5,179.49,174.07,177.55,86407265,177.55
2024-05-15,179.9,180.0,173.11,173.99,79662982,173.99
2024-05-16,174.1,175.79,171.43,174.84,59812148,174.84
2024-05-17,173.55,179.63,172.75,177.46,77445790,177.46
2024-05-20,177.56,177.75,173.52,174.95,61727400,174.95
2024-05-21,175.51,186.88,174.71,186.6,115266509,186.6
2024-05-22,182.85,183.8,178.12,180.11,88313275,180.11
2024-05-23,181.8,181.9,173.26,173.74,71975418,173.74
2024-05-24,174.84,180.08,173.73,179.24,65584448,179.24
2024-05-28,176.4,178.25,173.16,176.75,59736620,176.75
2024-05-29,174.19,178.15,173.93,176.19,54782649,176.19
2024-05-30,178.58,182.67,175.38,178.79,77784630,178.79
2024-05-31,178.5,180.32,173.82,178.08,67314592,178.08
2024-06-03,178.13,182.64,174.49,176.29,68568859,176.29
2024-06-04,174.78,177.76,174.0,174.77,60056323,174.77
2024-06-05,175.35,176.15,172.13,175.0,57953638,175.0
2024-06-06,174.6,179.73,172.73,177.94,69886829,177.94
2024-06-07,176.13,179.35,175.58,177.48,56244682,177.48
2024-06-10,176.06,178.57,173.17,173.79,50869245,173.79
2024-06-11,173.92,174.75,167.41,170.66,64761836,170.66
2024-06-12,171.12,180.55,169.8,177.29,90389401,177.29
2024-06-13,188.39,191.08,181.23,182.47,118984120,182.47
2024-06-14,185.8,186.0,176.92,178.01,82038065,178.01
2024-06-17,177.92,188.81,177.0,187.44,109785856,187.44
2024-06-18,186.56,187.2,182.37,184.86,68982249,184.86
2024-06-20,184.68,185.21,179.66,181.57,55893042,181.57
2024-06-21,182.3,183.95,180.69,183.01,63029482,183.01
2024-06-24,184.97,188.8,182.55,182.58,61991874,182.58
2024-06-25,184.4,187.97,182.01,187.35,63678162,187.35
2024-06-26,186.54,197.76,186.36,196.37,95737066,196.37
2024-06-27,195.17,198.72,194.05,197.42,72746520,197.42
2024-06-28,199.55,203.2,195.26,197.88,95437932,197.88
2024-07-01,201.02,213.23,200.85,209.86,135691354,209.86
2024-07-02,218.89,231.3,218.06,231.26,205047870,231.26
2024-07-03,234.56,248.35,234.25,246.39,163632816,246.39
2024-07-05,249.81,252.37,242.46,251.52,154501090,251.52
2024-07-08,247.71,259.44,244.57,252.94,157219441,252.94
2024-07-09,251.0,265.61,250.3,262.33,160742515,262.33
2024-07-10,262.8,267.59,257.86,263.26,128519332,263.26
2024-07-11,263.3,271.0,239.65,241.03,221706997,241.03
2024-07-12,235.8,251.84,233.09,248.23,155954673,248.23
2024-07-15,255.97,265.6,251.73,252.64,146912703,252.64
2024-07-16,255.31,258.62,245.8,256.56,126332369,256.56
2024-07-17,252.73,258.47,246.18,248.5,115584787,248.5
2024-07-18,251.09,257.14,247.2,249.23,110868878,249.23
2024-07-19,247.79,249.44,236.83,239.2,87403772,239.2
2024-07-22,244.21,253.21,243.75,251.51,101225430,251.51
2024-07-23,253.6,255.76,245.63,246.38,111928182,246.38
2024-07-24,225.42,225.99,214.71,215.99,167942397,215.99
2024-07-25,216.8,226.0,216.23,220.25,100636441,220.25
2024-07-26,221.19,222.28,215.33,219.8,94604042,219.8
2024-07-29,224.9,234.27,224.7,232.1,129201755,232.1
2024-07-30,232.25,232.41,220.0,222.62,100560333,222.62
2024-07-31,227.9,234.68,226.79,232.07,67496974,232.07
2024-08-01,227.69,231.87,214.33,216.86,83861897,216.86
2024-08-02,214.88,216.13,205.78,207.67,82879735,207.67
2024-08-05,185.22,203.88,182.0,198.88,100308786,198.88
2024-08-06,200.75,202.9,192.67,200.64,73783939,200.64
2024-08-07,200.77,203.49,191.48,191.76,71159737,191.76
2024-08-08,195.7,200.7,192.04,198.84,65033872,198.84
2024-08-09,197.05,200.88,195.11,200.0,58648168,200.0
2024-08-12,199.02,199.26,194.67,197.49,64044812,197.49
2024-08-13,198.47,208.49,197.06,207.83,76247251,207.83
2024-08-14,207.39,208.44,198.75,201.38,70250004,201.38
2024-08-15,205.02,215.88,204.82,214.14,89848414,214.14
2024-08-16,211.15,219.8,210.8,216.12,88765122,216.12
2024-08-19,217.07,222.98,214.09,222.72,76434911,222.72
2024-08-20,224.88,228.22,219.56,221.1,74001132,221.1
2024-08-21,222.67,224.66,218.86,223.27,70145928,223.27
2024-08-22,223.82,224.8,210.32,210.66,79514200,210.66
2024-08-23,214.46,221.48,214.21,220.32,81525079,220.32
2024-08-26,218.75,219.09,211.01,213.21,59301178,213.21
2024-08-27,213.25,215.66,206.94,209.21,62821272,209.21
2024-08-28,209.72,211.84,202.59,205.75,64115923,205.75
2024-08-29,209.8,214.89,205.97,206.28,62308804,206.28
2024-08-30,208.63,214.57,207.03,214.11,63370531,214.11
2024-09-03,215.26,219.9,209.64,210.6,76714062,210.6
2024-09-04,210.59,222.22,210.57,219.41,80651664,219.41
2024-09-05,223.49,235.0,222.25,230.17,119354929,230.17
2024-09-06,232.6,233.6,210.51,210.73,112176933,210.73
2024-09-09,216.2,219.87,213.67,216.27,67443458,216.27
2024-09-10,220.07,226.4,218.64,226.17,78891120,226.17
2024-09-11,224.55,228.47,216.8,228.13,83548630,228.13
2024-09-12,224.66,231.45,223.83,229.81,72020038,229.81
2024-09-13,228.0,232.67,226.32,230.29,59515035,230.29
2024-09-16,229.3,229.96,223.53,226.78,54322859,226.78
2024-09-17,229.45,234.57,226.55,227.87,66761477,227.87
2024-09-18,230.09,235.68,226.88,227.2,78010200,227.2
2024-09-19,234.0,244.24,232.13,243.92,102694576,243.92
2024-09-20,241.52,243.99,235.92,238.25,99878659,238.25
2024-09-23,242.61,250.0,241.92,250.0,86927193,250.0
2024-09-24,254.08,257.19,249.05,254.27,88490998,254.27
2024-09-25,252.54,257.05,252.28,257.02,65034318,257.02
2024-09-26,260.6,261.75,251.53,254.22,67142154,254.22
2024-09-27,257.38,260.7,254.12,260.46,70988041,260.46
2024-09-30,259.04,264.86,255.77,261.63,80873335,261.63
2024-10-01,262.67,263.98,248.53,258.02,87397370,258.02
2024-10-02,247.55,251.16,241.5,249.02,93983930,249.02
2024-10-03,244.48,249.79,237.81,240.66,80729083,240.66
2024-10-04,246.69,250.96,244.58,250.08,86726110,250.08
2024-10-07,249.0,249.83,240.7,240.83,68113083,240.83
2024-10-08,243.56,246.21,240.56,244.5,56303160,244.5
2024-10-09,243.82,247.43,239.51,241.05,66289521,241.05
2024-10-10,241.81,242.79,232.34,238.77,83087051,238.77
2024-10-11,220.13,223.34,214.38,217.8,142628763,217.8
2024-10-14,220.13,221.91,213.74,219.16,86291922,219.16
2024-10-15,220.01,224.26,217.12,219.57,62988762,219.57
2024-10-16,221.4,222.82,218.93,221.33,49632670,221.33
2024-10-17,221.59,222.08,217.9,220.89,50791565,220.89
2024-10-18,220.71,222.28,219.23,220.7,49611866,220.7
2024-10-21,218.9,220.48,215.73,218.85,47328988,218.85
2024-10-22,217.31,218.22,215.26,217.97,43268704,217.97
2024-10-23,217.12,218.72,212.11,213.65,80938841,213.65
2024-10-24,244.68,262.12,242.65,260.48,204491766,260.48
2024-10-25,256.01,269.49,255.32,269.19,161611915,269.19
2024-10-28,270.0,273.54,262.24,262.51,107653594,262.51
2024-10-29,264.51,264.98,255.51,259.52,80521424,259.52
2024-10-30,258.04,263.35,255.82,257.55,53993377,257.55
2024-10-31,257.99,259.75,249.25,249.85,66575250,249.85
2024-11-01,252.04,254.0,246.63,248.98,57544562,248.98
2024-11-04,244.56,248.9,238.88,242.84,68802226,242.84
2024-11-05,247.34,255.28,246.21,251.44,69282078,251.44
2024-11-06,284.67,289.59,275.62,288.53,165228557,288.53
2024-11-07,288.89,299.75,285.52,296.91,117309178,296.91
2024-11-08,299.14,328.71,297.66,321.22,204782722,321.22
2024-11-11,346.3,358.64,336.0,350.0,210521573,350.0
2024-11-12,342.74,345.84,323.31,328.49,155725986,328.49
2024-11-13,335.85,344.6,322.5,330.24,125405410,330.24
2024-11-14,327.69,329.98,310.37,311.18,120726049,311.18
2024-11-15,310.57,324.68,309.22,320.72,114440286,320.72
2024-11-18,340.73,348.55,330.01,338.74,126547428,338.74
2024-11-19,335.76,347.38,332.75,346.0,88852309,346.0
2024-11-20,345.0,346.6,334.3,342.03,66340650,342.03
2024-11-21,343.81,347.99,335.28,339.64,58011527,339.64
2024-11-22,341.08,361.53,337.7,352.56,89140666,352.56
2024-11-25,360.14,361.93,338.2,338.59,95890845,338.59
2024-11-26,341.0,346.96,335.66,338.23,62295827,338.23
2024-11-27,341.8,342.55,326.59,332.89,57896379,332.89
2024-11-29,336.08,345.45,334.65,345.16,34989087,345.16
2024-12-02,352.38,360.0,351.15,357.09,77986478,357.09
2024-12-03,351.8,355.69,348.2,351.42,58266997,351.42
2024-12-04,353.0,358.1,348.6,357.93,50810770,357.93
2024-12-05,359.87,375.43,359.5,369.49,81403568,369.49
2024-12-06,377.42,389.49,370.8,389.22,81455698,389.22
2024-12-09,397.61,404.8,378.01,389.79,96358918,389.79
2024-12-10,392.68,409.73,390.85,400.99,97563577,400.99
2024-12-11,409.7,424.88,402.38,424.77,104287099,424.77
2024-12-12,424.84,429.3,415.0,418.1,87752066,418.1
2024-12-13,420.0,436.3,415.71,436.23,88999998,436.23
2024-12-16,441.09,463.19,436.15,463.02,114083805,463.02
2024-12-17,475.9,483.99,457.51,479.86,131222579,479.86
2024-12-18,466.5,488.54,427.01,440.13,149340587,440.13
2024-12-19,451.88,456.36,420.02,436.17,118566095,436.17
2024-12-20,425.5,447.08,417.64,421.06,132215940,421.06
2024-12-23,431.0,434.51,415.41,430.6,72697791,430.6
2024-12-24,435.9,462.78,435.14,462.25,57101178,462.25
2024-12-26,465.16,465.33,451.02,454.13,76651210,454.13
2024-12-27,449.52,450.0,426.5,431.66,82666775,431.66
2024-12-30,419.4,427.0,415.75,417.41,64940773,417.41
2024-12-31,423.79,427.93,402.54,403.84,76824968,403.84
2025-01-02,390.1,392.73,373.04,379.28,109710672,379.28
2025-01-03,381.48,411.88,379.45,410.44,95423204,410.44
2025-01-06,423.2,426.43,401.7,411.05,85516304,411.05
2025-01-07,405.83,414.33,390.0,394.36,75699474,394.36
2025-01-08,392.95,402.5,387.4,394.94,73038805,394.94
2025-01-10,391.4,399.28,377.29,394.74,62287328,394.74
2025-01-13,383.21,403.79,380.07,403.31,67580272,403.31
2025-01-14,414.34,422.64,394.54,396.36,84565010,396.36
2025-01-15,409.9,429.8,405.66,428.22,81375313,428.22
2025-01-16,423.49,424.0,409.13,413.82,68335143,413.82
2025-01-17,421.5,439.74,419.75,426.5,94991429,426.5
2025-01-21,432.64,433.2,406.31,424.07,87320794,424.07
2025-01-22,416.81,428.0,414.59,415.11,60963342,415.11
2025-01-23,416.06,420.73,408.95,412.38,50690475,412.38
2025-01-24,414.45,418.88,405.78,406.58,56426990,406.58
2025-01-27,394.8,406.69,389.0,397.15,58125507,397.15
2025-01-28,396.91,400.59,386.5,398.09,48910676,398.09
2025-01-29,395.21,398.59,384.48,389.1,68033613,389.1
2025-01-30,410.78,412.5,384.41,400.28,98092667,400.28
2025-01-31,401.53,419.99,401.34,404.6,83568044,404.6
2025-02-03,386.68,389.17,374.36,383.68,93732110,383.68
2025-02-04,382.63,394.0,381.4,392.21,57072235,392.21
2025-02-05,387.51,388.39,375.53,378.17,57614719,378.17
2025-02-06,373.03,375.4,363.18,374.32,77918214,374.32
2025-02-07,370.19,380.55,360.34,361.62,70297478,361.62
2025-02-10,356.21,362.7,350.51,350.73,77514806,350.73
2025-02-11,345.8,349.37,325.1,328.5,118543350,328.5
2025-02-12,329.94,346.4,329.12,336.51,105382679,336.51
2025-02-13,345.0,358.69,342.85,355.94,89441364,355.94
2025-02-14,360.62,362.0,347.5,355.84,68277213,355.84
2025-02-18,355.01,359.1,350.02,354.11,51631642,354.11
2025-02-19,354.0,367.34,353.67,360.56,67093820,360.56
2025-02-20,361.51,362.3,348.0,354.4,45965354,354.4
2025-02-21,353.44,354.98,334.42,337.8,74058648,337.8
2025-02-24,338.14,342.4,324.7,330.53,76052317,330.53
2025-02-25,327.02,328.89,297.25,302.8,134228524,302.8
2025-02-26,303.71,309.0,288.04,290.8,100118206,290.8
2025-02-27,291.16,297.23,280.88,281.95,101748146,281.95
2025-02-28,279.5,293.88,273.6,292.98,115696749,292.98
2025-03-03,300.34,303.94,277.3,284.65,115550486,284.65
2025-03-04,270.93,284.35,261.84,272.04,126706521,272.04
2025-03-05,272.92,279.55,267.71,279.1,94042817,279.1
2025-03-06,272.06,272.65,260.02,263.45,98451421,263.45
2025-03-07,259.32,266.25,250.73,262.67,102369640,262.67
2025-03-10,252.54,253.37,220.0,222.15,189076932,222.15
2025-03-11,225.3,237.06,217.02,230.58,174896286,230.58
2025-03-12,247.22,251.84,241.1,248.09,142215670,248.09
2025-03-13,248.12,248.29,232.6,240.68,114813525,240.68
2025-03-14,247.31,251.58,240.73,249.98,100242143,249.98
2025-03-17,245.06,245.4,232.8,238.01,111900533,238.01
2025-03-18,228.16,230.1,222.28,225.31,111477631,225.31
2025-03-19,231.61,241.41,229.2,235.86,111993753,235.86
2025-03-20,233.34,238.0,230.05,236.26,99028242,236.26
2025-03-21,234.98,249.52,234.55,248.71,132728684,248.71
2025-03-24,258.08,278.64,256.33,278.39,169079752,278.39
2025-03-25,283.6,288.2,271.28,288.14,150361535,288.14
2025-03-26,282.66,284.9,266.51,272.06,156254386,272.06
2025-03-27,272.48,291.85,271.82,273.13,162572097,273.13
2025-03-28,275.58,276.1,260.57,263.55,123809340,263.55
2025-03-31,249.31,260.56,243.36,259.16,134008847,259.16
2025-04-01,263.8,277.45,259.25,268.46,146486911,268.46
2025-04-02,254.6,284.99,251.27,282.76,212787806,282.76
2025-04-03,265.29,276.3,261.51,267.28,136174241,267.28
2025-04-04,255.38,261.0,236.0,239.43,181229205,239.43
2025-04-07,223.78,252.0,214.25,233.29,183453774,233.29
2025-04-08,245.0,250.44,217.8,221.86,171603472,221.86
2025-04-09,224.69,274.69,223.88,272.2,219433335,272.2
2025-04-10,260.0,262.49,239.33,252.4,181722604,252.4
2025-04-11,251.84,257.74,241.36,252.31,128948022,252.31
2025-04-14,258.36,261.8,245.93,252.35,100135150,252.35
2025-04-15,249.91,258.75,247.54,254.11,79594154,254.11
2025-04-16,247.61,251.97,233.89,241.55,112378714,241.55
2025-04-17,243.47,244.34,237.68,241.37,83404775,241.37
2025-04-21,230.26,232.21,222.79,227.5,97767981,227.5
2025-04-22,230.96,242.79,229.85,237.97,120858452,237.97
